system:index,precipitation,year,.geo
0,2544.429003139715,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2065.437724937335,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1748.4586306146966,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2266.5058382451657,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2534.320379023977,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1991.9667803539967,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1970.1731468348532,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1690.9929355255929,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2101.8046690825963,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2383.5976324610933,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2195.7230844171295,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2189.4052858107975,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1803.0930724845218,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1819.0759671277265,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2194.6783096501977,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2241.1711560731846,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2037.7271316709314,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1859.4199267897163,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2031.7171844698817,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2238.211341458471,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2155.411426147123,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2329.826403636247,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2037.2930608989418,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2301.1932568888856,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2339.7569394444463,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2041.1145119751209,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2251.2957983745832,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2144.140116427464,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2675.691236802794,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2309.1764932996675,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1853.6035195447296,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2185.659793382166,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2252.066849843435,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2287.9795441186843,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2194.899053051148,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2291.500943216512,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2490.820665781714,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2244.091503856816,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1984.6254085511332,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1953.8724611997159,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
